poset18/poset18-10a;0
poset18/poset18-10b;0
poset18/poset18-10c;500
poset18/poset18-10d;0
poset18/poset18-10e;0
poset18/poset18-10f;0
poset18/poset18-10g;0
poset18/poset18-10h;0
poset18/poset18-10i;0
poset18/poset18-10j;0
poset18/poset18-4a;0
poset18/poset18-4b;0
poset18/poset18-4c;0
poset18/poset18-4d;0
poset18/poset18-4e;0
poset18/poset18-4f;0
poset18/poset18-4g;0
poset18/poset18-4h;0
poset18/poset18-4i;0
poset18/poset18-4j;0
poset18/poset18-6a;499
poset18/poset18-6b;0
poset18/poset18-6c;0
poset18/poset18-6d;499
poset18/poset18-6e;0
poset18/poset18-6f;0
poset18/poset18-6g;0
poset18/poset18-6h;0
poset18/poset18-6i;0
poset18/poset18-6j;0
poset18/poset18-8a;0
poset18/poset18-8b;0
poset18/poset18-8c;0
poset18/poset18-8d;0
poset18/poset18-8e;0
poset18/poset18-8f;0
poset18/poset18-8g;0
poset18/poset18-8h;509
poset18/poset18-8i;0
poset18/poset18-8j;0
