poset14/poset14-10a;
poset14/poset14-10b;
poset14/poset14-10c;
poset14/poset14-10d;
poset14/poset14-10e;
poset14/poset14-10f;
poset14/poset14-10g;
poset14/poset14-10h;
poset14/poset14-10i;
poset14/poset14-10j;
poset14/poset14-4a;74051
poset14/poset14-4b;735030
poset14/poset14-4c;142101
poset14/poset14-4d;59040
poset14/poset14-4e;92564
poset14/poset14-4f;282701
poset14/poset14-4g;421301
poset14/poset14-4h;518865
poset14/poset14-4i;1927389
poset14/poset14-4j;779038
poset14/poset14-6a;7020309
poset14/poset14-6b;2735652
poset14/poset14-6c;17724156
poset14/poset14-6d;15464939
poset14/poset14-6e;8423510
poset14/poset14-6f;57161814
poset14/poset14-6g;49939716
poset14/poset14-6h;51393671
poset14/poset14-6i;28514727
poset14/poset14-6j;7349496
poset14/poset14-8a;
poset14/poset14-8b;
poset14/poset14-8c;
poset14/poset14-8d;
poset14/poset14-8e;
poset14/poset14-8f;12849517
poset14/poset14-8g;
poset14/poset14-8h;
poset14/poset14-8i;
poset14/poset14-8j;
