poset22/poset22-10a;
poset22/poset22-10b;
poset22/poset22-10c;
poset22/poset22-10d;
poset22/poset22-10e;
poset22/poset22-10f;
poset22/poset22-10g;
poset22/poset22-10h;
poset22/poset22-10i;
poset22/poset22-10j;
poset22/poset22-4a;6823375
poset22/poset22-4b;
poset22/poset22-4c;343010
poset22/poset22-4d;
poset22/poset22-4e;
poset22/poset22-4f;
poset22/poset22-4g;23414537
poset22/poset22-4h;42606086
poset22/poset22-4i;46206467
poset22/poset22-4j;10153935
poset22/poset22-6a;
poset22/poset22-6b;
poset22/poset22-6c;
poset22/poset22-6d;
poset22/poset22-6e;
poset22/poset22-6f;
poset22/poset22-6g;
poset22/poset22-6h;
poset22/poset22-6i;
poset22/poset22-6j;
poset22/poset22-8a;
poset22/poset22-8b;
poset22/poset22-8c;
poset22/poset22-8d;
poset22/poset22-8e;
poset22/poset22-8f;
poset22/poset22-8g;
poset22/poset22-8h;
poset22/poset22-8i;
poset22/poset22-8j;
