poset26/poset26-10a;
poset26/poset26-10b;
poset26/poset26-10c;
poset26/poset26-10d;
poset26/poset26-10e;
poset26/poset26-10f;
poset26/poset26-10g;
poset26/poset26-10h;
poset26/poset26-10i;
poset26/poset26-10j;
poset26/poset26-4a;
poset26/poset26-4b;
poset26/poset26-4c;
poset26/poset26-4d;
poset26/poset26-4e;9676642
poset26/poset26-4f;
poset26/poset26-4g;
poset26/poset26-4h;
poset26/poset26-4i;
poset26/poset26-4j;
poset26/poset26-6a;
poset26/poset26-6b;
poset26/poset26-6c;
poset26/poset26-6d;
poset26/poset26-6e;
poset26/poset26-6f;
poset26/poset26-6g;
poset26/poset26-6h;
poset26/poset26-6i;
poset26/poset26-6j;
poset26/poset26-8a;
poset26/poset26-8b;
poset26/poset26-8c;
poset26/poset26-8d;
poset26/poset26-8e;
poset26/poset26-8f;
poset26/poset26-8g;
poset26/poset26-8h;
poset26/poset26-8i;
poset26/poset26-8j;
